,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
116,1530-1667,Blue,Maokai,Kha'Zix,Ryze,Ashe,Miss Fortune,Ivern,Malzahar,Olaf,Cassiopeia,Syndra,0
117,1530-1667,Red,Jayce,Elise,Orianna,Varus,Zyra,Rengar,Camille,LeBlanc,Jhin,Caitlyn,1
118,1530-1668,Blue,Olaf,Elise,Syndra,Varus,Tahm Kench,Caitlyn,LeBlanc,Rengar,Ryze,Kha'Zix,0
119,1530-1668,Red,Maokai,Lee Sin,Corki,Ezreal,Malzahar,Ivern,Jayce,Camille,Zyra,Shen,1
120,1530-1669,Blue,Shen,Lee Sin,Ryze,Sivir,Malzahar,Ivern,Olaf,Jayce,Zyra,Tahm Kench,1
121,1530-1669,Red,Maokai,Kha'Zix,Orianna,Varus,Nami,Rengar,Camille,LeBlanc,Ezreal,Caitlyn,0
122,1531-1670,Blue,Shen,Kha'Zix,LeBlanc,Ezreal,Zyra,Ryze,Camille,Rengar,Karma,Thresh,1
123,1531-1670,Red,Maokai,Rek'Sai,Corki,Caitlyn,Malzahar,Jayce,Syndra,Varus,Ashe,Jhin,0
124,1531-1671,Blue,Trundle,Elise,Ryze,Varus,Malzahar,Jayce,Syndra,Zyra,Miss Fortune,Tahm Kench,0
125,1531-1671,Red,Maokai,Kha'Zix,LeBlanc,Jhin,Taric,Camille,Rengar,Karma,Shen,Lee Sin,1
126,1532-1672,Blue,Jayce,Rek'Sai,Corki,Jhin,Malzahar,Kha'Zix,Shen,Rengar,Elise,Ivern,1
127,1532-1672,Red,Poppy,Rumble,Syndra,Varus,Miss Fortune,Camille,LeBlanc,Ryze,Ezreal,Caitlyn,0
128,1532-1673,Blue,Jayce,Ivern,Corki,Ezreal,Zyra,LeBlanc,Varus,Ryze,Syndra,Cassiopeia,0
129,1532-1673,Red,Rumble,Rek'Sai,Viktor,Caitlyn,Malzahar,Kha'Zix,Rengar,Camille,Shen,Maokai,1
130,1533-1674,Blue,Nautilus,Elise,Cassiopeia,Varus,Miss Fortune,Shen,Zyra,LeBlanc,Jhin,Syndra,0
