Champion,counters champ,champ counters
gnar,"('Sivir', 47)","('Aphelios', 56)"
gnar,"('Smolder', 48)","('Draven', 56)"
gnar,"('Xayah', 50)","('Samira', 58)"
gnar,"('Zeri', 50)","(""Kai'Sa"", 58)"
gnar,"('Jinx', 51)","('Twitch', 58)"
gwen,"('Sivir', 47)","('Aphelios', 56)"
gwen,"('Smolder', 48)","('Draven', 56)"
gwen,"('Xayah', 50)","('Samira', 58)"
gwen,"('Zeri', 50)","(""Kai'Sa"", 58)"
gwen,"('Jinx', 51)","('Twitch', 58)"
lillia,"('Sivir', 47)","('Aphelios', 56)"
lillia,"('Smolder', 48)","('Draven', 56)"
lillia,"('Xayah', 50)","('Samira', 58)"
lillia,"('Zeri', 50)","(""Kai'Sa"", 58)"
lillia,"('Jinx', 51)","('Twitch', 58)"
nunu-willump,"('Sivir', 47)","('Aphelios', 56)"
nunu-willump,"('Smolder', 48)","('Draven', 56)"
nunu-willump,"('Xayah', 50)","('Samira', 58)"
nunu-willump,"('Zeri', 50)","(""Kai'Sa"", 58)"
nunu-willump,"('Jinx', 51)","('Twitch', 58)"
orianna,"('Sivir', 47)","('Aphelios', 56)"
orianna,"('Smolder', 48)","('Draven', 56)"
orianna,"('Xayah', 50)","('Samira', 58)"
orianna,"('Zeri', 50)","(""Kai'Sa"", 58)"
orianna,"('Jinx', 51)","('Twitch', 58)"
seraphine,"('Sivir', 47)","('Aphelios', 56)"
seraphine,"('Smolder', 48)","('Draven', 56)"
seraphine,"('Xayah', 50)","('Samira', 58)"
seraphine,"('Zeri', 50)","(""Kai'Sa"", 58)"
seraphine,"('Jinx', 51)","('Twitch', 58)"
xayah,"('Sivir', 47)","('Aphelios', 56)"
xayah,"('Smolder', 48)","('Draven', 56)"
xayah,"('Xayah', 50)","('Samira', 58)"
xayah,"('Zeri', 50)","(""Kai'Sa"", 58)"
xayah,"('Jinx', 51)","('Twitch', 58)"
zeri,"('Sivir', 47)","('Aphelios', 56)"
zeri,"('Smolder', 48)","('Draven', 56)"
zeri,"('Xayah', 50)","('Samira', 58)"
zeri,"('Zeri', 50)","(""Kai'Sa"", 58)"
zeri,"('Jinx', 51)","('Twitch', 58)"
akshan,"('Sivir', 47)","('Aphelios', 56)"
akshan,"('Smolder', 48)","('Draven', 56)"
akshan,"('Xayah', 50)","('Samira', 58)"
akshan,"('Zeri', 50)","(""Kai'Sa"", 58)"
akshan,"('Jinx', 51)","('Twitch', 58)"
bard,"('Sivir', 47)","('Aphelios', 56)"
bard,"('Smolder', 48)","('Draven', 56)"
bard,"('Xayah', 50)","('Samira', 58)"
bard,"('Zeri', 50)","(""Kai'Sa"", 58)"
bard,"('Jinx', 51)","('Twitch', 58)"
fiora,"('Sivir', 47)","('Aphelios', 56)"
fiora,"('Smolder', 48)","('Draven', 56)"
fiora,"('Xayah', 50)","('Samira', 58)"
fiora,"('Zeri', 50)","(""Kai'Sa"", 58)"
fiora,"('Jinx', 51)","('Twitch', 58)"
fizz,"('Sivir', 47)","('Aphelios', 56)"
fizz,"('Smolder', 48)","('Draven', 56)"
fizz,"('Xayah', 50)","('Samira', 58)"
